Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-12-12,72.49,73.44,72.24,72.39,496657.0,0.0,1.0,72.49,73.44,72.24,72.39,496657.0
2016-12-09,73.17,73.18,72.17,72.75,435405.0,0.0,1.0,73.17,73.18,72.17,72.75,435405.0
2016-12-08,70.87,73.31,70.52,73.04,638222.0,0.0,1.0,70.87,73.31,70.52,73.04,638222.0
2016-12-07,70.42,72.65,70.42,72.44,563994.0,0.0,1.0,70.42,72.65,70.42,72.44,563994.0
2016-12-06,69.71,70.55,69.64,70.28,466376.0,0.0,1.0,69.71,70.55,69.64,70.28,466376.0
2016-12-05,69.38,69.8099,68.85,69.74,499225.0,0.0,1.0,69.38,69.8099,68.85,69.74,499225.0
2016-12-02,68.94,69.43,68.14,68.67,542726.0,0.0,1.0,68.94,69.43,68.14,68.67,542726.0
2016-12-01,69.97,70.265,68.49,69.09,428259.0,0.0,1.0,69.97,70.265,68.49,69.09,428259.0
2016-11-30,71.47,71.69,69.36,69.37,447095.0,0.0,1.0,71.47,71.69,69.36,69.37,447095.0
2016-11-29,70.68,71.61,70.58,71.02,590591.0,0.0,1.0,70.68,71.61,70.58,71.02,590591.0
2016-11-28,71.72,72.14,70.27,70.61,744893.0,0.0,1.0,71.72,72.14,70.27,70.61,744893.0
2016-11-25,71.75,72.02,71.38,71.8,128922.0,0.0,1.0,71.75,72.02,71.38,71.8,128922.0
2016-11-23,70.5,71.6,70.5,71.56,569634.0,0.0,1.0,70.5,71.6,70.5,71.56,569634.0
2016-11-22,69.72,70.56,69.47,70.48,549429.0,0.0,1.0,69.72,70.56,69.47,70.48,549429.0
2016-11-21,70.38,70.68,69.15,69.72,565767.0,0.0,1.0,70.38,70.68,69.15,69.72,565767.0
2016-11-18,70.64,70.65,69.72,69.87,550298.0,0.0,1.0,70.64,70.65,69.72,69.87,550298.0
2016-11-17,70.82,71.23,70.22,70.48,470206.0,0.0,1.0,70.82,71.23,70.22,70.48,470206.0
2016-11-16,69.9,70.59,69.63,70.45,407489.0,0.0,1.0,69.9,70.59,69.63,70.45,407489.0
2016-11-15,70.25,70.48,68.96,70.24,563456.0,0.0,1.0,70.25,70.48,68.96,70.24,563456.0
2016-11-14,68.13,70.12,67.67,70.06,501670.0,0.0,1.0,68.13,70.12,67.67,70.06,501670.0
2016-11-11,66.05,67.75,65.92,67.34,630344.0,0.0,1.0,66.05,67.75,65.92,67.34,630344.0
2016-11-10,66.0,66.73,65.28,66.09,769349.0,0.0,1.0,66.0,66.73,65.28,66.09,769349.0
2016-11-09,61.87,65.99,61.29,65.08,784397.0,0.0,1.0,61.87,65.99,61.29,65.08,784397.0
2016-11-08,61.06,61.71,60.6,61.22,364014.0,0.0,1.0,61.06,61.71,60.6,61.22,364014.0
2016-11-07,61.14,61.35,60.7512,61.09,495331.0,0.0,1.0,61.14,61.35,60.7512,61.09,495331.0
2016-11-04,60.27,60.6,59.61,59.93,454454.0,0.0,1.0,60.27,60.6,59.61,59.93,454454.0
2016-11-03,59.82,60.81,59.53,60.28,419167.0,0.0,1.0,59.82,60.81,59.53,60.28,419167.0
2016-11-02,59.48,60.1702,59.48,59.6,393797.0,0.0,1.0,59.48,60.1702,59.48,59.6,393797.0
2016-11-01,60.71,60.78,59.2,59.52,530836.0,0.0,1.0,60.71,60.78,59.2,59.52,530836.0
2016-10-31,60.57,60.7281,60.09,60.46,668710.0,0.0,1.0,60.57,60.7281,60.09,60.46,668710.0
2016-10-28,60.12,61.16,60.12,60.58,800163.0,0.0,1.0,60.12,61.16,60.12,60.58,800163.0
2016-10-27,58.01,60.47,58.01,59.75,1387999.0,0.0,1.0,58.01,60.47,58.01,59.75,1387999.0
2016-10-26,55.81,56.29,55.4865,56.26,264671.0,0.0,1.0,55.81,56.29,55.4865,56.26,264671.0
2016-10-25,56.3,56.49,55.9,56.21,255909.0,0.0,1.0,56.3,56.49,55.9,56.21,255909.0
2016-10-24,56.93,57.34,56.33,56.4,229705.0,0.0,1.0,56.93,57.34,56.33,56.4,229705.0
2016-10-21,55.51,56.335,55.1,56.12,239624.0,0.0,1.0,55.51,56.335,55.1,56.12,239624.0
2016-10-20,56.53,56.74,56.02,56.04,299462.0,0.0,1.0,56.53,56.74,56.02,56.04,299462.0
2016-10-19,57.47,57.47,56.76,56.9,243572.0,0.0,1.0,57.47,57.47,56.76,56.9,243572.0
2016-10-18,57.75,57.86,57.16,57.21,341993.0,0.0,1.0,57.75,57.86,57.16,57.21,341993.0
2016-10-17,57.31,57.54,56.9,56.98,401381.0,0.0,1.0,57.31,57.54,56.9,56.98,401381.0
2016-10-14,58.21,58.34,57.25,57.28,379481.0,0.0,1.0,58.21,58.34,57.25,57.28,379481.0
2016-10-13,57.27,58.05,56.87,57.82,315911.0,0.08,1.0,57.27,58.05,56.87,57.82,315911.0
2016-10-12,57.31,58.03,57.28,57.92,494740.0,0.0,1.0,57.230815198618,57.949820379965,57.200856649396,57.839972366149,494740.0
2016-10-11,58.98,59.38,56.58,57.38,815413.0,0.0,1.0,58.898507772021,59.297955094991,56.501823834197,57.300718480138,815413.0
2016-10-10,59.31,59.94,59.01,59.22,589540.0,0.0,1.0,59.228051813472,59.85718134715,58.928466321244,59.138176165803,589540.0
2016-10-07,59.89,59.91,58.56,59.0,424141.0,0.0,1.0,59.807250431779,59.827222797927,58.479088082902,58.918480138169,424141.0
2016-10-06,60.11,60.33,59.29,59.9,364951.0,0.0,1.0,60.026946459413,60.246642487047,59.208079447323,59.817236614853,364951.0
2016-10-05,59.68,60.56,59.3301,60.36,850829.0,0.0,1.0,59.597540587219,60.476324697755,59.248124041451,60.276601036269,850829.0
2016-10-04,59.89,60.55,59.01,59.26,361693.0,0.0,1.0,59.807250431779,60.46633851468,58.928466321244,59.1781208981,361693.0
2016-10-03,59.47,59.915,58.8,59.66,480802.0,0.0,1.0,59.38783074266,59.832215889465,58.718756476684,59.577568221071,480802.0
2016-09-30,59.61,60.33,59.17,59.62,438717.0,0.0,1.0,59.527637305699,60.246642487047,59.088245250432,59.537623488774,438717.0
2016-09-29,59.06,59.76,58.75,59.31,406182.0,0.0,1.0,58.978397236615,59.677430051813,58.668825561313,59.228051813472,406182.0
2016-09-28,58.54,59.3,58.23,59.25,306975.0,0.0,1.0,58.459115716753,59.218065630397,58.149544041451,59.168134715026,306975.0
2016-09-27,57.26,58.56,57.01,58.43,394041.0,0.0,1.0,57.180884283247,58.479088082902,56.93122970639,58.349267702936,394041.0
2016-09-26,57.38,57.92,57.07,57.3,158185.0,0.0,1.0,57.300718480138,57.839972366149,56.991146804836,57.220829015544,158185.0
2016-09-23,58.6,58.84,57.57,57.64,213529.0,0.0,1.0,58.519032815199,58.758701208981,57.490455958549,57.560359240069,213529.0
2016-09-22,58.13,58.78,58.01,58.71,268667.0,0.0,1.0,58.049682210708,58.698784110535,57.929848013817,58.628880829016,268667.0
2016-09-21,57.24,57.81,56.76,57.74,201667.0,0.0,1.0,57.160911917098,57.730124352332,56.681575129534,57.660221070812,201667.0
2016-09-20,57.02,57.21,56.55,56.81,329516.0,0.0,1.0,56.941215889465,57.130953367876,56.471865284974,56.731506044905,329516.0
2016-09-19,56.7,57.175,56.29,56.62,467484.0,0.0,1.0,56.621658031088,57.096001727116,56.212224525043,56.541768566494,467484.0
2016-09-16,56.31,56.48,55.82,56.25,495772.0,0.0,1.0,56.232196891192,56.401962003454,55.742873920553,56.172279792746,495772.0
2016-09-15,55.07,56.23,55.01,56.23,292678.0,0.0,1.0,54.993910189983,56.152307426598,54.933993091537,56.152307426598,292678.0
2016-09-14,55.36,55.59,54.89,54.92,265964.0,0.0,1.0,55.283509499136,55.513191709845,54.814158894646,54.844117443869,265964.0
2016-09-13,55.75,56.01,55.19,55.38,277128.0,0.0,1.0,55.672970639033,55.932611398964,55.113744386874,55.303481865285,277128.0
2016-09-12,55.5,56.45,55.25,56.17,216250.0,0.0,1.0,55.423316062176,56.372003454231,55.17366148532,56.092390328152,216250.0
